statement,label
"Yuma has a lot of retirees. My opponent? He wants to send their Social Security to Wall Street. He wants to privatize it. He wants to cut the knot. He refers to Social Security in some negative way and he wants to give it to Wall Street. Masters clearly previously said that he supports privatizing Social Security. We'd argue that he should be held accountable for those words, and no amount of backtracking can disguise where he actually stands. Masters wants to privatize Social Security.",0
Says Rep. Jon Runyan voted to redefine rape.,0
Justice Paul Newby is out here removing judges who were elected to their positions by the voters of North Carolina!!! Don't tell me Republicans believe in free and fair elections and representation. Their actions say otherwise!,0
George LeMieux voted against the majority of Republicans and joined with Democrats to create a Task Force For Responsible Fiscal Action that looks strikingly similar to the Super Committee now being set up in Washington to justify massive tax hikes.,0
Paul Ryan cut embassy security in his budget by $300 million below what we asked for.,0
On the accuracy of state jobs numbers.,0
"When I was born, defense spending was 60 percent of the budget. Its now 17 percent.",1
Says Ronald Reagan repeatedly talked about how irresponsible it would be to allow the full faith and credit of the United States to be impaired in any kind of way.,1
"Says Charlie Crist was pro-life, pro-gun and vehemently anti-tax.",1
On repeal and replace of federal health care reform.,0
Says Mike Coffman said two different things: stop the deportationsin a Spanish-language debate and youre going to be deportedin an English-language TV interview.,0
"McCain ""said the other day that he would not meet potentially with the prime minister of Spain, because he . . . wasn't sure whether they were aligned with us.""",1
Much more than 50 percentof parents out there are spankers.,1
"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",1
"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are willing to jeopardize seniors access to coverage by gutting $741 billion from Medicare to pay for a big-government healthcare takeover.",0
Ed Schultz said Alan Grayson is what its all about.,1
"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",1
"Long-term federal investment in U.S. airports is urgent because there was a recent survey of the top airports in the world, and there was not a single U.S. airport that came in the top 25.",1
"This is a conservative voter alert: Bernie Sanders is at it again  this time with a radical plan to increase government control of your pharmacy benefits. Even worse? Some Republicans are supporting it. Sanders' socialist plan is not just an attack on your health benefits, it's his next step toward government-run health care  shattering your pharmacy benefits, increasing drug costs and threatening private health insurance. Call Ted Budd and tell him to oppose Bernie's radical health care takeover. No conservative lawmaker should support any bill that gives the government more control over health care, particularly his legislation, which will increase costs for patients and reduce choices for small businesses. The ad seemed incredibly overwrought to me. Whatever one thinks of the merits of these proposals, it's not a radical change in U.S. health policy. is once again leading an attack on private health care to achieve his stated goal of nationalized health care.",0
There are no similar clips of Newt Gingrich talking about how ineffective President Bush was in trying to control North Korea.,0
More than 43 percent of all food stamps are given to illegals.,0
"Among Syrian refugees and migrants coming into Europe, there look like very few women. Very few children.",0
"When President AbrahamLincoln signed his Emancipation Proclamation, there were over 300,000 slaveholders who were fighting in the Union army.",0
Says Charlie Crist signed the nations harshest marijuana laws.,0
"Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.",1
"Says that since 1975, redistricting by Texas lawmakers has always been found in violation of Section 5 of the Voting Rights Act.",0
"By the time she turns 3 years old, a child born into a low-income home hears 30 million fewer words than a child from a well-off family.",1
The state constitution clearly says theres not to be a state income tax in Tennessee.,0
"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",0
The spillover violence (from Mexico) in Texas is real and it is escalating.,0
"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.",0
"Georgia is one of seven states to lose jobs in 2011 and has lost 8,200 jobs so far.",1
Says a gun bill before the Senate is proposing the universal registration of all firearms and their owners.,0
"As has been noted by many observers, including Bill Clinton's former secretary of labor, my plan does more than anybody to reduce costs.",0
"Attorney General McCollum, Speaker-Designate Cannon, Senate President-Designate Haridopolos and I stood up to Governor Crist and worked to remove Jim Greer as Chairman because of his mismanagement of the party.",1
"The original compromise for the Confederate battle flag in South Carolina was to put it on the back side of the statehouse, out of public view so it would not have any appearance of sovereignty.",1
"In the three months before the act took effect, America lost 750,000 jobs a month. In the last three months, we've lost about 35,000 jobs a month.",1
A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.,0
This is the real crisis: It costs more to live in many Florida cities than New York City. It costs more to live in many Florida cities than New York City.,0
"We had a reelection the second time. We actually did much better than the first time. We won in Wisconsin, as you know, the first time. The second time we did much better. But I guess it was delayed. They found out a lot of wrongdoing. And after the wrongdoing was found, people said, 'Well, he actually did win.' after the wrongdoing was found, people said, 'Well, he actually did win.'",0
"A far different picture from the prior eight years, which saw 115 increases in taxes and fees.",1
More private-sector jobs were created in the second year of the Obama administration than in the eight years of the Bush administration.,0
"Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case.",1
Marco Rubio says Solo Ingles (English only).,0
Photos prove the Denver light rail system has low ridership.,0
"Holding up a BlackBerry, McCain campaign adviser says, ""youre looking at the miracle John McCain helped create.""",0
On opposing any and all efforts to increase taxes.,0
If students don't have access to internet they can call 1.844.488.8398 during the school shutdown for free internet from Spectrum.,1
Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because he didnt understand the charge.,0
Nationwide tuition at public universities is up almost 300 percent ... in the last 20 years.,1
"Under those eight years before (Barack)Obama came along, we didnt have any successful radical Islamic terrorist attack in the United States since Sept. 11, 2001.",0
"In Senate Bill 5, there is this new method of evaluating teachers. Youre also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents.",1
We have killed lots of innocent people in the state of Texas.,0
I never said I was on the Falkland Islands.,0
The total unemployment rate for Hispanic or Latino workers has increased from 10% to 10.3% between January 2009 and March 2012.,0
Says restoring Georgia pre-k to a 180-day program was a real result of his leadership.,0
Says some Wisconsin state employee contracts gave some employees $4 for bringing in their own lunch.,1
Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff,0
Says Gov. Scott Walker has made Wisconsin 2nd in the nation in losing jobs.,0
Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.,0
"A grant for $5,000 [from the Governors Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.",0
Says the new health care law delivers a $13 billion tax increase on families with special needs.,0
"As CEO of WWE, Linda McMahon was caught tipping off a ringside physician about a federal investigation into illegally distributing steroids to wrestlers.",1
Says the Congressional Budget Office said unemployment could top 9 percent in 2013,0
Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.,0
"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so himself after his capture.""",1
We have doubled the distance our cars will go on a gallon of gas.,0
"Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists.",0
"Biden has implemented a formal policy that illegal aliens who intrude into the United States are granted immunity from deportation. Thus, when this monster showed up at our border, he was set free immediately under the program Crooked Joe created  I call it, 'Free To Kill.'",0
I actually started criticizing the war in Iraq before (Obama) did.,0
"Says President Barack Obama promised he would cut the deficit in half, but instead will at least double it.",0
Says David Jolly supports privatizing Social Security.,0
"Says under Mayor Cory Booker, Newark has seen violent crime up five years in a row, murder up five years in a row.",0
"In Jeanne Shaheen, New Hampshire has a Senator who was the deciding vote to pass Obamacare.",0
"Says Sen. Mark Begich is ineffective because he has only passed one bill, the naming of a building.",0
On deporting illegal immigrants.,1
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",1
"Historically, Senate ratification of arms control treaties has been bipartisan.",1
"Under the presidents plan, he cuts Medicare by $716 billion, takes that money out of the Medicare trust fund and uses it to pay for Obamacare.",0
"Two years ago...I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke, and told them [subprime lending] is something we have to deal with.",1
"For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law. Unfortunately, federal housing policy has done little to address the affordability of housing. It's too expensive and too far out of reach.",1
The Republican Party has the worst reputation in American polling of any political party in history.,0
"Over $1 trillion was spent on anti-poverty programs in 2011, enough to give every single poor American a check for $22,000.",0
Over 40 percent of the American people don't have $400 in the bank.,1
"Apparently, Pennsylvania Governor Joshua Shapiro conspired in the 1st assassination attempt on Trump, per State Police whistleblower!
Shapiro being charged with the attempted assassination of Trump! Screw the superbowl this is HUGE!!!
I did file a private criminal complaint to the Butler County, Pennsylvania district attorney's office implicating Governor Josh Shapiro for the attempted assassination against former President Donald J Trump.
Shapiro is implicated for the attempted assassination against Trump and hundreds of crimes against innocent civilians.
Simply preparing a private criminal complaint does not mean charges have been filed against someone.
I can tell you that there is not an investigation pending regarding Governor Shapiro and the allegations contained in the complaint.
Based on what I know, since this is the second private criminal complaint filed by this person against Governor Shapiro, I would not anticipate an investigation occurring.
On the day of the attack, Shapiro condemned the shooting in an X post and said he was praying for Trump.",0
"Says President Obama has grown the federal government payroll by 141,000 workers and wants to add 125,000 more.",0
Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to so-called conversion therapy.,0
Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes.,0
"The major immigration issue was about Poles, and Bulgarians, and Romanians, and that they werent contributing economically. The unemployment rate among Poles in Britain is lower than the unemployment rate among Brits.",1
"Romney said ""'No' to in-state tuition"" for illegal immigrants.",1
"If youre born poor, youre more likely to stay poor than any time in American history.",0
Says 25 percent of Austins public school buildings are underutilized.,0
Says Barack Obama has added $16 trillion to the national debt.,0
"$3 billion payoff: 101 utilities cut rates, credit GOP tax cuts.",1
"People of every race use illegal drugs at similar rates, yet African Americans are far more likely to be imprisoned than whites. African Americans are three to four times more likely to be arrested for drug crimes and nine times more likely to be imprisoned.",1
Marco Rubio thinks that government shouldn't be in the health care business at all.,0
"Cervical cancer in Africa is fully preventable with basic education, screeningand vaccines.",1
"Decorated Marine, two-tour Iraq war vet.",1
Not one illness has been reported from raw milk in Texas in more than four years. A total of six illnesses have occurred in the last 20 years.,0
"When a judge expressed his personal belief that a practicing Muslim should not be a member of Congress because of his faith, it was wrong. That this same judge is now my party's nominee for the Senate should concern us all. Religious tests have no place in the United States Congress.",1
The Constitution simply does not authorize the federal government to own any of this land (in the Western states).,0
"When you get a commercial pilots license, you learn to communicate in English no matter where you are in the world.",1
"Shes voted for 60 tax increases, hurting the middle class and small businesses.",0
"While the sequester is in effect, the federal government is still funding a study on duck penises.",1
On the Keystone XL pipeline,1
Even high estimates for an early draft of the health care plan are less than the $1.8 trillion cost of the Bush tax cuts.,1
"Very, very, very few people get a pat-down when they go through airport security.",0
"When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.",1
Candidate Bill Byrne used campaign funds for work on his personal car.,0
"Says the Constitution specifically states the Congress shall write legislation for immigration policy, so Barack Obama lacks the authority to defer the deportation of young illegal immigrants.",0
"In Virginia, people are going and getting marriage licenses who are 12 and 13, and 14 and 15 years old.",1
The CIA paid two psychologists $81 million to develop and run their torture program.,1
"People (are) paying more in taxes than they will for food, housing and clothing combined.",0
Says Bernie Sanders has been largely a very reliable supporter of the NRA.,0
"The vision the president has put forward (in the infrastructure bill) is fully paid for. Across 15 years, it would raise all of the revenue needed for these once-in-a-lifetime investments.",1
The Republicans have never done anything really to balance the budget.,0
"Our ranking in terms of the best and worst states to do business in was 43 four years ago, and we just moved up to 17 two weeks ago.",0
I havent really proposed (phasing out aid to Israel) in the past.,0
SaysRuben Kihuen only managed in the minority to get one bill passed out of the eight to 10 he introduced during the 2015 legislative session.,1
"For the first time in 13 years, our dependence on foreign oil is below 50 percent.",0
West Virginia is sixth overall in the average number of at-risk youth. Let's turn this around and grow our workforce by supporting post-secondary training programs.,1
"There is not another nation on Earth, other than the United States of America, that grants legal permanent residency to more than a million people per year.",1
"On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.",1
"If lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated.",0
Mary Burke wasted 12.5 million dollars on a vacant lot in a move that could cost taxpayers nearly $25 million.,0
"Vukmir claimed the open records law didn't apply to her, got sued, lost and cost taxpayers $15,000 in legal fees.",1
Says Mike Gallaghers plan would cut Social Security benefits for two-thirds of seniors.,0
North Carolina ranks last in the country in K-12 funding  and that is entirely the result of the North Carolina Republican Party's misplaced priorities. Their under-investment has left families and kids across our state to bear the brunt of teacher shortages and under-resourced schools and hurt the potential of our future leaders and workforce.,0
"Says she was the the only Democrat who voted against the Wall Street bailout.""",1
"Texas prosecutor Rosemary Lehmberg purchased 72 bottles of vodka in just one store alone, in just over a year.",1
Social science is irrefutable that children are better off being raised by a mom and a dad.,0
Georgia has the most lax gun laws in the nation.,0
On whether to eliminate the state income tax.,0
Obamacare is going to increase the divorce rate.,0
"President Biden wants Iowans and Americans to believe that skyrocketing prices at the pump are all Vladimir Putin's fault  but gas prices have been going up since the president's first day in office, starting with his move to shut down the Keystone XL pipeline. As the senator was pointing out in the newsletter, the increase in gas prices was happening well before Russia's invasion of Ukraine. Gas prices have been going up since the president's first day in office, starting with his move to shut down the Keystone XL pipeline.",0
"And let me say this, as a Californian, we have given more to the recovery of other states than any other state in the union. Congress should not tie unrelated policy objectives to aid or view disaster aid requests through a partisan lens",1
"Within two years, there were two 500-year events.",1
"None of the polls being conducted right now have us on the top line. None of them. Its always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, wed be at 20 percent.",0
"Says under his utility rate plan, An estimated 50 percent of our residential households will see a decrease in their water and wastewater bills.",1
The academic achievements of our student-athletes are mentioned in the same breath and spirit as Notre Dame and Stanford.,0
"The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.",1
"About half of the presidents have been governors; half of them, senators.",0
"On the question on the DREAM Act, no -- no to granting lower tuition to illegals.",0
It takes as much energy to make a solar panel as it likely generates in its entire life.,0
The Paris Agreement is by far the largest number of countries ever to sign an international agreement on a single day.,1
"Biden said the better answer is to give police departments the resources they need to implement meaningful reforms, and to condition other federal dollars on completing those reforms. By the way, Trump proposes cutting a half a billion dollars of local police support.",1
Right now were the highest taxed country in the world.,0
Governors proposed budget raids K-12 school funds to grow DHS again.,0
McGinty previously told a local community newspaper in her native Philadelphia that she has found an alarming undercurrent of misinformed people in the T part of the state outside of Philadelphia and Pittsburgh.,0
"If we went back to the obesity rates that existed in 1980, that would save the Medicare system a trillion dollars.",0
Theres going to be a slowdown and delays in flights as a result of the sequester.,1
"During the Bush administration, you actually had a prominent liberal write a book about how Bush was preparing for a fascist takeover of this country.",1
"ranked choice crap voting. So-and-so had five votes for fifth place so we are going to give them the victory. It's crazy, it's crazy. And you know who got it put in? Lisa Murkowski got it put inShe knew she could not win a straight-up election. So she went for crazy ranked choice. You never know who won in ranked choice. You could be in third place. They announced that you won the election. It's a total rigged deal just like a lot of other things in this country. ranked choice voting is a total rigged deal.",0
"Barrett has a written track record, disagreeing adamantly with the Supreme CourtÕs decision to uphold the ACA. In fact, she publicly criticized Chief Justice RobertsÕ opinion upholding the law eight years ago.",1
Says a Lubbock terror suspects alleged plan to use baby dolls to conceal chemical explosives is similar to a 1995 plot to blow up 12 jumbo jets over the Pacific Ocean.,1
Says Maryellen OShaughnessy accepted campaign cash from indicted politician Jimmy Dimora.,0
"61 percent of non-tea party Republicans actually agree...there is solid evidence the earth is warming, ...[but] 70 percent of tea partiers, contrarily, say there is no solid evidence the earth is warming.",1
More than 125 jobs have been created at the Milwaukee Job Corps Center.,1
"When I took office in 2003, we had very little reserves.",0
This census is also the shortest and least intrusive count in modern history.,1
"Let's pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. Because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can't get filled. There are airline mechanic jobs paying a lot of money that can't get filled. Remarks at AFSCME forum 6/19/2007",1
The changes to Georgias tax and fee structure is an overall tax cut.,1
We are now seeing a decrease in violent crime.,1
"As state Commerce secretary, Mary Burke drafted, sponsored and promoted budgets that raised taxes by billions, created high structural deficits and raided funds to finance huge spending hikes.",0
A report by the US General Accountability Office (GAO) in 2008 found that the disposal of Katrina wastes by AshBritt in the south resulted in the creation of contaminated sites along the Gulf Coast and two new Superfund sites in New Orleans.,0
On timing of announcement for president.,0
Grocery prices have risen significantly over the past year or so.,0
Thirty-five states have accepted high-speed intercity rail money.,0
I was the first member of Congress to contribute to Donald Trump.,1
Recent studies have confirmed that any academic benefits of government funded preschool disappear by the fourth grade.,0
"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",0
Today we swear in Senator Aaron Rouse and Glenn Youngkin becomes the first sitting governor in the modern era to have their party have less legislative seats than when they were elected. I've been here so long that anything after 1992 is modern to me. the first sitting Governor in the modern era to have their party have less legislative seats than when they were elected.,0
Fewer than 10 percent of those in the House are what anyone would classify as wealthy.,0
"Last year, I stopped an Obamacare bailout and saved taxpayers $2.5 billion.",0
Milwaukee is the most segregated city in America.,1
"Statistically, law-enforcement officers die 10 years earlier than the general population.",0
"Every 20 seconds, a child dies because they lack access to clean water and sanitation.",0
Says Mark Udall decided Obamacare. ... He passed Obamacare with his vote.,0
Says Julie Parrish voted to divert $160 million from public schools to private for-profit schools.,0
Says Barack Obama and his team are socialists in every respect of the word.,0
"In one of the states that determined the outcome"" of the 2016 presidential race, the winning margin averaged out to just two votes per precinct -two votes.",1
"Sen. Robert Bennett, R-Utah, cast votes for TARP, the stimulus, and an individual mandate for health care.",0
Says Romney and Bain Capital drove KB Toys into bankruptcy by loading it up with debt.,0
Says she created the first felony deferred prosecution program for nonviolent first-offenders in Texas.,0
"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.",1
"Right now, 50 percent of Florida students leaving high school cannot read at grade level.",1
The labor participation rate is at an all-time low.,0
There was serious voter fraud in New Hampshire.,0
There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,1
"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, that was the end of Romneys chances to win.",0
"Hillary Clinton ""has the only health care plan that covers every American.""",1
Two-Faced @JonTester's 'Inflation Reduction Act' increased inflation and drove prices sky high! And he never 'took on Big Pharma'  Jon Tester is the #1 recipient of cash from Big Pharma!! What a PHONY! The Inflation Reduction Act that Tester supported 'increased inflation and drove prices sky high!',0
President Trump's Republican Party will create more debt in one year than was generated in the first 200 years of America's existence.,1
"According to 2009 estimates, an agreement with Panama could result in almost 1,900 Florida jobs in thefirst year and about 15,000 jobs afterfive years.",1
Texas spends more per day to house an inmate than we do on a student.,1
You can have an active warrant for your arrest for murder and legally pass a background check system in the state of Texas.,1
"If you look at the Medicare program, for example, there is $50 billion a year wasted in the Medicare program. Thatâ's a billion dollars a week.",1
"The stimulus bill includes ""$300,000 for a sculpture garden in Miami.""",0
House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,1
"I used tax cuts to help create over 80,000 jobs in New Mexico.",1
"(Environmentalists) said Were only going to stop coal mining above 2,000 feet. ... Well guess where all the coal in the state of Tennessee is? Above 2,000 feet.",0
"After Roe was overturned, the rights of millions of women were taken away. And Adam Laxalt called that a 'historic victory.' He'd let Nevada and other states ban abortion with zero exceptions. He's not for us. The people of Nevada have already voted to make abortion rights legal in our state, and the court's decision on Roe doesn't change settled law. I'm a constitutional conservative lawyer, and Roe v. Wade was always a joke. It was a total, complete invention  It has created decades and decades of political turmoil, not to mention the most important thing, that it is allowed across the country. So, I think its return back to the states is important. would let Nevada and other states ban abortion with zero exceptions.",0
"While neighboring states like Minnesota, Illinois and Michigan have already implemented safety precautions like requiring individuals to wear masks, similar pleas in Wisconsin have fallen on deaf ears of Republican legislators.",1
"If you take out a loan, you pay it back. Period. Republican members of Congress whose PPP loans were forgiven.",1
Twenty-four percent of doctors in Virginia currently dont accept new Medicaid patients because the reimbursement rates are so low.,1
"From 2000 to 2008, we averaged about five mass shootings a year. Were now averaging 15. So thats a three-fold increase.",0
"The IRS is going to be in charge of a huge national database on health care that will include Americans personal, intimate, most close-to-the-vest-secrets.",0
"20,000 Kansans lost their health insurance because of (Obamacare).",0
"Like Marco Rubio, Sen. Barack Obama had one of the worst attendance records in the Senate.",1
There are more than twice as many (crisis pregnancy centers) as there are legitimate abortion providers in the United States.,0
"Having an entirely Democrat congressional delegation in 2009, when the [federal stimulus] bill passed, increases the per capita stimulus dollars that the state receives per person by $460.",0
"Our country & Constitution was built on a foundational separation of church and state. Today, #SCOTUS ruled public fundsâ taxpayer dollar-can go to religious schools. I think it's time the church and state get a constitutionally-mandated divorce.",1
The federal tax code has loopholes that are giving incentives for companies that are shipping jobs overseas.,1
Only after news broke that our veterans are dying because of inadequate health care did Harry Reid and Senate Democrats take action.,0
A study ranked Florida No. 1 in government corruption under Gov. Rick Scott.,0
Gas prices have gone up $2 since Obama took office.,0
Cincinnati is already one of the biggest cities in the country to run 100 percent on clean energy.,0
Says Hillary Clinton sent a memo to all State Department staff that said you should not do State Department business on personal email.,1
Wisconsins Supreme Court justices are deciding fewer opinions in civil and criminal cases than they used to.,0
Says Donald Trump and Ron Johnson oppose a womans right to choose and Johnson voted against the Violence Against Women Act.,1
The U.S. has a record number of oil rigs operating right now more working oil and gas rigs than the rest of the world combined.,0
Says Alex Sink supported a $5.2 billion increase in Floridas debt.,0
"Under Maggie Hassans leadership, we increased state spending in the middle of the great recession by 24 percent leading up to and following it.",0
Spanberger 's voted with Nancy Pelosi over 90% of the timeÉ,1
Probably less than 4 percent of Wisconsin residents are enjoying the subsidies from Obamacare.,1
"The immigration bill includes free Obamacars, motorcycles or scooters.",0
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,0
Fifty percent of our students who enter higher education need to take remedial courses because they are not prepared for college-level work.,0
"Says U.S. Sen. Ron Johnson opposes faster broadband internet in small towns and got nearly $90,000 in campaign contributions from the telecom special interests.",0
"Theres at least 7,500 addicted gamblers in Rhode Island, at least, it could be as high as 22,000.",1
"Do you know that every Jan. 6, every four years, whenever any Republican has been elected president over the course of the last few decades, same date, same time, same place, we have had Democrats on the floor of the House of Representatives, objecting and debating? All sorts of different objections, that's been our process.",1
Says Rick Santorum funded Planned Parenthood.,0
Says state schools superintendent candidate Don Pridemore voted for the largest cuts to public education in our state history and for $2.3 billion in tax breaks for corporations and the wealthy.,0
You can now sue the mRNA COVID vaccine manufacturers for damages and the FDA is required to take the COVID vaccines off the market. Why? Adulteration. The plasmid bioactive contaminant sequences were NOT pointed out to the regulatory authorities. It's considered adulteration. SV40 contamination. The SV40 promoter is found in all the vials and it was in the gene sequence that was provided to the regulators. The problem was that neither drug company ever pointed it out to the regulators. The FDA is required to take the COVID vaccines off the market because they are adulterated.,0
"The Pentagons survey about the Dont Ask, Dont Tell policy found that 92 percent of service members agree that they could serve ... in a unit in combat without compromising mission readiness.",0
Says Scott Walker said that forcing women facing abortion to get invasive ultrasounds was just a cool thing.,0
Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day.,1
Jim Renacci voted repeatedly to end Medicare.,0
Americas least-trusted news sources are also its most popular.,0
AIG said they were giving $57 million (in retention payments) to people who were being terminated.,1
The richest 80 people in the world own more wealth than the bottom half of the global population.,1
One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).,1
Says David Jolly lobbied on a plan by Rep. Paul Ryan that would turn Medicare into a voucher program.,0
Says a trash mound on U.S. 290 is 800 feet tall.,0
Says she balanced a $10 billion budget shortfall without raising taxes.,0
New business startups are at the lowest levels in 30 years.,1
"Nelson skipped 45 percent of the hearings on national security. National security! Bill Nelson doesn't write laws, he doesn't even show up.",1
Rhode Island has a [inmate] recidivism rate of over 60 percent.,1
John Mica voted to borrow $10 trillion.,0
"Among gun owners, and I'm a gun owner myself, 97 percent support expanded, universal background checks so we don't have the gun-show loophole, so that we don't have the internet purchases that don't go through a thorough background check.",1
Trump cut Social Security benefits by over $3 BILLION.,0
"Texas #2 in nation for new gun purchases, behind California.",0
Says the Obama administration never responded to his 2012 letter flagging the uptick in unaccompanied children crossing the U.S.-Mexico border.,1
Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago.,1
"Romneycare sent costs spiraling out of control in Massachusetts, hiking premiums, squeezing household budgets.",0
Says Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee.,1
"Every billion dollars we spend on highway construction results in 47,500 jobs. But the fact is the average American is sitting in traffic 38 hours a year.",0
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,0
"Under Gov. Scott Walkers public-school budgets, a student entering kindergarten will not enjoy the same state investment in his or her education as those that came before them until they are graduating from high school.",0
Says he invested over $100 million in worker training.,1
We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival.,0
PIP fraud is $1 billion in fraud.,0
"Says for the first time in the history of the United States, the government cut taxes during wartime",1
"Marco Rubio was ""subpoenaed.""",0
I recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in Iraq and Syria.,0
"Since we passed tax cuts, over 3 million workers have gotten tax cut bonuses, many of them thousands and thousands of dollars.",1
It made us all so proud to have an Indian on a big-time team. It's only a small group of radicals who oppose those names. Indians are proud of Indians. ,1
"Scott's hospital company stole millions, defrauding the military's health care program.",1
"Shows in a television ad that police took evidence fromSolantic, Rick Scotts new health care company, after allegations emerged that the company was engaging in fraud.",0
More than 30 cents of every state tax dollar goes to Medicaid.,1
Says Ron Johnson referred to The Lego Movie as an insidious anti-business conspiracy.,0
"Now we have about 1,You know what the average tax they pay is? About 3%. Look, no billionaire should pay a lower tax than a schoolteacher or a firefighter. The average tax for billionaires is about 3%. a lower tax than a schoolteacher or a firefighter.",0
"At Twin River, were more than competitive with nearby casinos in slot machine payouts.",1
Says Rick Scott pled the Fifth 75 times to avoid jail for Medicare fraud.,0
Youre more likely to get struck by lightning in Texas thanfind in-person voter fraud.,1
No one in the country has ever built a brand new sports facility and created this kind of development at the same time.,1
Wisconsin's archaic abortion ban is older than 20 states.,1
Says Donald Trumps Make America Great Againhats were made in China.,0
"Say in November 2010, voters overwhelmingly supported the idea of creating a (library) district.",0
Only 18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.,1
Says Ted Cruzs father was with Lee Harvey Oswald before the assassination of President John F. Kennedy.,0
Portland Bureau of Transportation barely break(s) even ticketing motorists.,0
"In New Hampshire, I spent $3 million. Jeb Bush spent $44 million. He came in five, and I came in number one.",1
"Massive 78% Of Mail-In Ballots Proved Fraudulent, Judge Orders Election Do-Over.",1
Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austins streets.,0
"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",0
Dan Gelbers employment by BPs law firm could disqualify him from representing Florida against BP as Attorney General.,0
"Every other democracy in the world has a health care system that covers everybody, and we don't.",0
"Says Scott Browns carrying some big oil baggage because he collected over $400,000 in campaign contributions.",0
"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.",0
"Says constitutional amendment would help to stop unfair, double taxation on real estate.",0
Milwaukee Mayor Tom Barrett has held the line on property taxes.,0
Lake's gone on the record saying she supports Arizona's complete abortion ban. She's called it a 'great law.,1
When President Obama was running for re-election Senator Sanders was trying to find someone to primary him.,0
"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.",1
Compact fluorescent light bulbs are toxic and not environmentally friendly.,0
Says both Donald Trump and Hillary Clinton say Planned Parenthood is terrificand that it should keep taxpayer funding.,0
We now have our kids go to school about a month less than most other advanced countries.,0
A National Football League lockout would cost Atlanta $160 million in lost jobs and revenue.,0
Health insurance costs for Floridians are up 30 percent or more.,0
